text,sentiment
"OJK Blak-Blakan Alasan Tingginya Kredit Macet BPR Hingga Banyak Tutup",negatif
"BSI Fokus Perlebar Pangsa Pasar ke Timur Tengah",positif
"Fitur Canggih QLola by BRI Permudah Transaksi Bisnis Nasabah Korporasi",positif
"Saham Eks Jiwasraya Sitaan Kejagung (ANDI) Punya Investor Baru",positif
"BSI Angkat Tiga Komisaris dan Dua Direktur Baru",positif
"Tok! BSI Bagi Dividen Rp 855 Miliar atau Rp 18,54 per Saham",positif
"Peran QLola by BRI di Trade Finance & Sektor Supply Chain Management",positif
"IHSG Sukses Happy Weekend, 5 Saham Ini Jadi Penggeraknya",positif
"Investor Ini Diam-Diam Jadi Pemegang Saham 5% Dua Emiten Dalam Sehari",positif
"Bos Mitra10 (CSAP) Borong Saham Rp 12 Miliar, Buat Apa?",positif
"Sri Mulyani Terbitkan Samurai Bond, Tarik Utang Baru Rp20,8 T",positif
"Saham naik karena investor tetap optimis tentang ekonomi.",positif
"Pasaran jatuh setelah laporan laba yang mengecewakan.",negatif
"Perusahaan teknologi mengumumkan keuntungan yang memecahkan rekor.",positif
"Investor khawatir tentang inflasi dan kenaikan suku bunga.",negatif
"Emiten pertambangan alami kenaikan harga saham signifikan.",positif
"Nilai tukar rupiah melemah, pasar saham tertekan.",negatif
"Penggabungan dua perusahaan besar disambut baik oleh pasar.",positif
"Penurunan harga komoditas menyebabkan saham terkait jatuh.",negatif
"Dividen tinggi dari perusahaan blue-chip menarik minat investor.",positif
"Kebijakan baru pemerintah dukung pertumbuhan sektor energi.",positif
"Laba bersih perusahaan turun akibat peningkatan biaya operasional.",negatif
"Sektor properti menunjukkan tanda-tanda pemulihan.",positif
"Skandal keuangan mengguncang perusahaan teknologi ternama.",negatif
"Penawaran saham perdana (IPO) perusahaan startup sukses besar.",positif
"Ketidakpastian politik regional mempengaruhi pasar saham.",negatif
"Pengumuman akuisisi oleh perusahaan besar mendorong harga saham naik.",positif
"Penurunan harga minyak global membebani sektor energi.",negatif
"Saham bank besar naik setelah laporan laba yang solid.",positif
"Rencana ekspansi internasional perusahaan disambut positif oleh investor.",positif
"Peningkatan suku bunga oleh bank sentral mengkhawatirkan pasar.",negatif
"Laporan pendapatan kuartalan perusahaan mengalahkan ekspektasi.",positif
"Pemangkasan tenaga kerja oleh perusahaan besar menyebabkan kekhawatiran.",negatif
"Perusahaan ritel melaporkan peningkatan penjualan yang signifikan.",positif
"Krisis ekonomi global membayangi pasar saham.",negatif
"Investasi besar dalam teknologi hijau dipuji oleh pasar.",positif
"Penurunan permintaan menyebabkan harga saham produsen jatuh.",negatif
"Strategi baru manajemen perusahaan meningkatkan optimisme investor.",positif
"Kenaikan pajak perusahaan berdampak negatif pada laba bersih.",negatif
"Inovasi produk baru diterima dengan baik oleh konsumen dan pasar.",positif
"Protes buruh besar-besaran mengganggu operasional perusahaan.",negatif
"Perusahaan farmasi mengumumkan terobosan medis, saham melonjak.",positif
"Pasar saham mengalami volatilitas tinggi karena ketidakpastian global.",negatif
"Keputusan merger disambut baik, saham kedua perusahaan naik.",positif
"Laporan keuangan yang buruk menekan harga saham.",negatif
"Program buyback saham meningkatkan nilai saham perusahaan.",positif
"Krisis kesehatan global mempengaruhi kinerja pasar saham.",negatif
"Perusahaan mengumumkan rencana pengembangan bisnis jangka panjang.",positif
"Harga komoditas jatuh, mempengaruhi saham sektor pertambangan.",negatif
"Kinerja keuangan yang kuat menarik minat investor institusional.",positif
"Kebijakan moneter ketat menekan pertumbuhan pasar saham.",negatif
"Investasi besar dalam riset dan pengembangan dipuji oleh analis.",positif
"Kerugian besar dilaporkan oleh perusahaan minyak dan gas.",negatif
"Perusahaan berhasil capai target penjualan tahunan lebih awal.",positif
"Ketidakpastian perdagangan global mempengaruhi pasar saham.",negatif
"Pengumuman dividen spesial meningkatkan minat investor.",positif
"Penurunan produksi menyebabkan harga saham industri turun.",negatif
"Akuisisi strategis oleh perusahaan besar meningkatkan nilai saham.",positif
"Pasar saham terpukul oleh ketidakpastian politik.",negatif
"Perusahaan e-commerce melaporkan peningkatan pendapatan signifikan.",positif
"Krisis energi global menyebabkan volatilitas pasar saham.",negatif
"Peningkatan produksi membawa optimisme pada saham perusahaan manufaktur.",positif
"Penurunan harga properti membebani saham sektor terkait.",negatif
"Keberhasilan strategi pemasaran baru mendorong pertumbuhan saham.",positif
"Laporan kerugian perusahaan menyebabkan penurunan harga saham.",negatif
"Perusahaan telekomunikasi mengumumkan peningkatan laba bersih.",positif
"Ketidakpastian ekonomi global menyebabkan investor berhati-hati.",negatif
"Pengembangan teknologi baru meningkatkan prospek pertumbuhan saham.",positif
"Kenaikan biaya bahan baku menekan laba perusahaan.",negatif
"Perusahaan berhasil mencapai target keberlanjutan lingkungan.",positif
"Perusahaan melaporkan kerugian akibat bencana alam.",negatif
"Saham naik setelah laporan keuangan yang kuat dirilis.",positif
"Investor waspada terhadap potensi resesi ekonomi.",negatif
"Kerjasama strategis antar perusahaan meningkatkan prospek saham.",positif
"Penurunan permintaan produk menyebabkan saham turun.",negatif
"Perusahaan mencapai kesepakatan besar dengan mitra internasional.",positif
"Krisis politik regional mempengaruhi pasar saham lokal.",negatif
"Pengumuman peluncuran produk baru meningkatkan minat investor.",positif
"Laporan pendapatan yang mengecewakan menekan harga saham.",negatif
"Perusahaan meluncurkan inisiatif keberlanjutan yang ambisius.",positif
"Penurunan nilai tukar mata uang menyebabkan saham jatuh.",negatif
"Akuisisi oleh perusahaan besar diterima positif oleh pasar.",positif
"Ketidakpastian regulasi berdampak negatif pada saham.",negatif
